"Volume_Name","Volume_Type","Runway_Name","Point_Sequence","Latitude","Longitude","Min_Altitude","Max_Altitude"
"09R_S_Intercept","PLT","R09R",2,0.898156,-0.0200453,-152.400009155273,2042.16003417969
"09R_S_Intercept","PLT","R09R",3,0.896413,-0.0200043,-152.400009155273,2042.16003417969
"09R_S_Intercept","PLT","R09R",4,0.896479,-0.010259,-152.400009155273,2042.16003417969
"09R_S_Intercept","PLT","R09R",5,0.898223,-0.0102788,-152.400009155273,2042.16003417969
"09R_Switch","PLT","R09R",1,0.898309,-0.00841906,-152.400009155273,2042.16003417969
"09R_Switch","PLT","R09R",2,0.898387,-0.00841977,-152.400009155273,2042.16003417969
"09R_Switch","PLT","R09R",3,0.898313,-0.0200491,-152.400009155273,2042.16003417969
"09R_Switch","PLT","R09R",4,0.898234,-0.0200472,-152.400009155273,2042.16003417969
"09R_Switch","PLT","R09R",5,0.898309,-0.00841906,-152.400009155273,2042.16003417969
"27L_Climb_Out","PLT","R27L",1,0.897358,-0.00849835,-152.400009155273,2286
"27L_Climb_Out","PLT","R27L",2,0.899101,-0.00851432,-152.400009155273,2286
"27L_Climb_Out","PLT","R27L",3,0.899113,-0.00385798,-152.400009155273,2286
"27L_Climb_Out","PLT","R27L",4,0.89737,-0.00385216,-152.400009155273,2286
"27L_Climb_Out","PLT","R27L",5,0.897358,-0.00849835,-152.400009155273,2286
"27L_GT_1_N","PLT","R27L",1,0.89852,-0.00850899,-152.400009155273,2286
"27L_GT_1_N","PLT","R27L",2,0.898527,0.00405403,-152.400009155273,2286
"27L_GT_1_N","PLT","R27L",3,0.899979,0.00406361,-152.400009155273,2286
"27L_GT_1_N","PLT","R27L",4,0.899973,-0.00852233,-152.400009155273,2286
"27L_GT_1_N","PLT","R27L",5,0.89852,-0.00850899,-152.400009155273,2286
"27L_GT_1_S","PLT","R27L",1,0.897939,-0.00850367,-152.400009155273,2286
"27L_GT_1_S","PLT","R27L",2,0.897946,0.00405022,-152.400009155273,2286
"27L_GT_1_S","PLT","R27L",3,0.896493,0.00404071,-152.400009155273,2286
"27L_GT_1_S","PLT","R27L",4,0.896487,-0.00849039,-152.400009155273,2286
"27L_GT_1_S","PLT","R27L",5,0.897939,-0.00850367,-152.400009155273,2286
"27L_GT_3_N","PLT","R27L",1,0.899101,-0.00851432,-152.400009155273,2286
"27L_GT_3_N","PLT","R27L",2,0.899108,0.00405786,-152.400009155273,2286
